"id";"created";"nome"
267;"2010-12-28 00:00:01";"SÃO ROQUE DE MINAS "
268;"2010-12-28 00:00:01";"SÃO SEBASTIÃO DO PARAÍSO "
269;"2010-12-28 00:00:01";"SENADOR FIRMINO "
270;"2010-12-28 00:00:01";"SERRO "
271;"2010-12-28 00:00:01";"SETE LAGOAS "
272;"2010-12-28 00:00:01";"SILVIANÓPOLIS "
273;"2010-12-28 00:00:01";"TAIOBEIRAS "
274;"2010-12-28 00:00:01";"TARUMIRIM "
275;"2010-12-28 00:00:01";"TEIXEIRAS "
276;"2010-12-28 00:00:01";"TEÓFILO OTÔNI "
277;"2010-12-28 00:00:01";"TIMÓTEO "
278;"2010-12-28 00:00:01";"TIROS "
279;"2010-12-28 00:00:01";"TOMBOS "
280;"2010-12-28 00:00:01";"TRÊS CORAÇÕES "
281;"2010-12-28 00:00:01";"TRÊS MARIAS "
282;"2010-12-28 00:00:01";"TRÊS PONTAS "
283;"2010-12-28 00:00:01";"TUPACIGUARA "
284;"2010-12-28 00:00:01";"TURMALINA "
285;"2010-12-28 00:00:01";"UBÁ "
286;"2010-12-28 00:00:01";"UBERABA "
287;"2010-12-28 00:00:01";"UBERLÂNDIA "
288;"2010-12-28 00:00:01";"UNAÍ "
289;"2010-12-28 00:00:01";"VARGINHA "
290;"2010-12-28 00:00:01";"VÁRZEA DA PALMA "
291;"2010-12-28 00:00:01";"VAZANTE "
292;"2010-12-28 00:00:01";"VESPASIANO "
293;"2010-12-28 00:00:01";"VIÇOSA "
294;"2010-12-28 00:00:01";"VIRGINÓPOLIS "
295;"2010-12-28 00:00:01";"VISCONDE DO RIO BRANCO "
